anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0013749	http://purl.obolibrary.org/obo/UPHENO_0084659
http://purl.obolibrary.org/obo/UBERON_0004385	http://purl.obolibrary.org/obo/UPHENO_0084660
http://purl.obolibrary.org/obo/UBERON_0004384	http://purl.obolibrary.org/obo/UPHENO_0084661
http://purl.obolibrary.org/obo/UBERON_0004382	http://purl.obolibrary.org/obo/UPHENO_0084662
http://purl.obolibrary.org/obo/UBERON_0013748	http://purl.obolibrary.org/obo/UPHENO_0084663
http://purl.obolibrary.org/obo/UBERON_0001435	http://purl.obolibrary.org/obo/UPHENO_0084664
http://purl.obolibrary.org/obo/UBERON_0006864	http://purl.obolibrary.org/obo/UPHENO_0084665
http://purl.obolibrary.org/obo/UBERON_0004387	http://purl.obolibrary.org/obo/UPHENO_0084666
http://purl.obolibrary.org/obo/UBERON_0006863	http://purl.obolibrary.org/obo/UPHENO_0084667
http://purl.obolibrary.org/obo/UBERON_0001447	http://purl.obolibrary.org/obo/UPHENO_0084668
http://purl.obolibrary.org/obo/UBERON_0014386	http://purl.obolibrary.org/obo/UPHENO_0084669
http://purl.obolibrary.org/obo/UBERON_0013750	http://purl.obolibrary.org/obo/UPHENO_0084670
http://purl.obolibrary.org/obo/UBERON_0013751	http://purl.obolibrary.org/obo/UPHENO_0084671
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0084672
http://purl.obolibrary.org/obo/UBERON_0016928	http://purl.obolibrary.org/obo/UPHENO_0084673
http://purl.obolibrary.org/obo/UBERON_0002293	http://purl.obolibrary.org/obo/UPHENO_0084674
http://purl.obolibrary.org/obo/UBERON_0004395	http://purl.obolibrary.org/obo/UPHENO_0084675
http://purl.obolibrary.org/obo/UBERON_0004390	http://purl.obolibrary.org/obo/UPHENO_0084676
http://purl.obolibrary.org/obo/UBERON_0004391	http://purl.obolibrary.org/obo/UPHENO_0084677
http://purl.obolibrary.org/obo/UBERON_0006810	http://purl.obolibrary.org/obo/UPHENO_0084678
http://purl.obolibrary.org/obo/UBERON_0008772	http://purl.obolibrary.org/obo/UPHENO_0084679
http://purl.obolibrary.org/obo/UBERON_0004412	http://purl.obolibrary.org/obo/UPHENO_0084680
http://purl.obolibrary.org/obo/UBERON_0001437	http://purl.obolibrary.org/obo/UPHENO_0084681
http://purl.obolibrary.org/obo/UBERON_0004406	http://purl.obolibrary.org/obo/UPHENO_0084682
http://purl.obolibrary.org/obo/UBERON_0001438	http://purl.obolibrary.org/obo/UPHENO_0084683
http://purl.obolibrary.org/obo/UBERON_0014437	http://purl.obolibrary.org/obo/UPHENO_0084684
