anatomical_space	defined_class
http://purl.obolibrary.org/obo/UBERON_0001638	http://purl.obolibrary.org/obo/UPHENO_0085673
http://purl.obolibrary.org/obo/UBERON_0001707	http://purl.obolibrary.org/obo/UPHENO_0085674
http://purl.obolibrary.org/obo/UBERON_0003959	http://purl.obolibrary.org/obo/UPHENO_0085675
http://purl.obolibrary.org/obo/UBERON_0001508	http://purl.obolibrary.org/obo/UPHENO_0085676
http://purl.obolibrary.org/obo/UBERON_0001637	http://purl.obolibrary.org/obo/UPHENO_0085677
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0085678
http://purl.obolibrary.org/obo/UBERON_0000160	http://purl.obolibrary.org/obo/UPHENO_0085679
http://purl.obolibrary.org/obo/UBERON_0002392	http://purl.obolibrary.org/obo/UPHENO_0085680
http://purl.obolibrary.org/obo/UBERON_0001620	http://purl.obolibrary.org/obo/UPHENO_0085681
http://purl.obolibrary.org/obo/UBERON_0000057	http://purl.obolibrary.org/obo/UPHENO_0085682
http://purl.obolibrary.org/obo/UBERON_0003126	http://purl.obolibrary.org/obo/UPHENO_0085683
http://purl.obolibrary.org/obo/UBERON_0009972	http://purl.obolibrary.org/obo/UPHENO_0085684
http://purl.obolibrary.org/obo/UBERON_0009973	http://purl.obolibrary.org/obo/UPHENO_0085685
http://purl.obolibrary.org/obo/UBERON_0001255	http://purl.obolibrary.org/obo/UPHENO_0085686
http://purl.obolibrary.org/obo/UBERON_0000056	http://purl.obolibrary.org/obo/UPHENO_0085687
http://purl.obolibrary.org/obo/UBERON_0001737	http://purl.obolibrary.org/obo/UPHENO_0085688
http://purl.obolibrary.org/obo/UBERON_0001173	http://purl.obolibrary.org/obo/UPHENO_0085689
http://purl.obolibrary.org/obo/UBERON_0001850	http://purl.obolibrary.org/obo/UPHENO_0085690
