anatomical_entity	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0081700
http://purl.obolibrary.org/obo/UBERON_0001601	http://purl.obolibrary.org/obo/UPHENO_0081701
http://purl.obolibrary.org/obo/UBERON_0000475	http://purl.obolibrary.org/obo/UPHENO_0081702
http://purl.obolibrary.org/obo/UBERON_0001577	http://purl.obolibrary.org/obo/UPHENO_0081703
http://purl.obolibrary.org/obo/UBERON_0003663	http://purl.obolibrary.org/obo/UPHENO_0081704
http://purl.obolibrary.org/obo/UBERON_0003661	http://purl.obolibrary.org/obo/UPHENO_0081705
http://purl.obolibrary.org/obo/UBERON_0003662	http://purl.obolibrary.org/obo/UPHENO_0081706
http://purl.obolibrary.org/obo/UBERON_0006323	http://purl.obolibrary.org/obo/UPHENO_0081707
http://purl.obolibrary.org/obo/UBERON_0003706	http://purl.obolibrary.org/obo/UPHENO_0081708
http://purl.obolibrary.org/obo/UBERON_0001785	http://purl.obolibrary.org/obo/UPHENO_0081709
http://purl.obolibrary.org/obo/UBERON_0001103	http://purl.obolibrary.org/obo/UPHENO_0081710
