upheno_id	upheno_label	parent	comment
ID	LABEL	SC % SPLIT=|	A rdfs:comment
UPHENO:7000000	osmotic stress resistance; resistance to osmotic stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000082 (osmotic stress resistance), FYPO:0000851 (resistance to osmotic stress)
UPHENO:7000001	oxidative stress resistance; resistance to oxidative stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000083 (oxidative stress resistance), FYPO:0007161 (resistance to oxidative stress)
UPHENO:7000002	auxotrophy	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000097 (auxotrophy), FYPO:0000128 (auxotrophy)
UPHENO:7000003	cold intolerance; cold sensitivity	UPHENO:0078619	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000148 (cold sensitivity), HP:6000855 (Cold intolerance)
UPHENO:7000004	haploinsufficient	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000152 (haploinsufficient), FYPO:0000340 (haploinsufficient)
UPHENO:7000005	prion formation	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000276 (prion formation), FYPO:0005977 (prion formation)
UPHENO:7000006	haploproficient	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000330 (haploproficient), FYPO:0002334 (haploproficient)
UPHENO:7000007	aneuploidy	UPHENO:0067694|UPHENO:0077386	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0004024 (aneuploidy), APO:0000336 (aneuploidy)
UPHENO:7000008	polyploidy	UPHENO:0067694|UPHENO:0077386	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.APO:0000337 (polyploidy), MP:0004025 (polyploidy)
UPHENO:7000009	no abnormal phenotype detected; wild type	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.DDPHENO:0000142 (wild type), MP:0002169 (no abnormal phenotype detected)
UPHENO:7000010	aberrant spore morphology; spore morphology	UPHENO:0049945|UPHENO:0051165|UPHENO:0083215|UPHENO:0050121	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000348 (abnormal spore morphology), DDPHENO:0000163 (aberrant spore morphology)
UPHENO:7000011	lethal	UPHENO:0050108	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000351 (lethal), WBPhenotype:0000062 (lethal)
UPHENO:7000012	eye color	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000355 (abnormal eye color), ZP:0002292 (eye color, abnormal)
UPHENO:7000013	infertility; sterile	UPHENO:0001003|UPHENO:0002378	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000364 (sterile), MP:0001924 (infertility), HP:0000789 (Infertility), WBPhenotype:0000688 (sterile)
UPHENO:7000014	reduced fertility; semi-sterile	UPHENO:0001003|UPHENO:0002378	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000365 (semi-sterile), MP:0001921 (reduced fertility)
UPHENO:7000015	female infertility; female sterile	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000366 (female sterile), HP:0008222 (Female infertility)
UPHENO:7000016	male infertility; male sterile	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.HP:0003251 (Male infertility), FBcv:0000370 (male sterile)
UPHENO:7000017	aging; aging variant	UPHENO:0001003|UPHENO:0049587	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000384 (abnormal aging), WBPhenotype:0001739 (aging variant)
UPHENO:7000018	mechanosensation variant; touch response	UPHENO:0001003|UPHENO:0049622|UPHENO:0050079	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.WBPhenotype:0000315 (mechanosensation variant), FBcv:0000421 (abnormal touch response)
UPHENO:7000019	cell number; cell number variant	UPHENO:0050108|UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0000709 (abnormal cell number), WBPhenotype:0002173 (cell number variant)
UPHENO:7000020	embryonic lethal; lethal - all die during embryonic stage	UPHENO:0050034	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.WBPhenotype:0000050 (embryonic lethal), FBcv:0002033 (lethal - all die during embryonic stage)
UPHENO:7000021	decreased efficacy of learning; impaired learning	UPHENO:0049612|UPHENO:0049622	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FBcv:0007531 (decreased efficacy of learning), MP:0012315 (impaired learning)
UPHENO:7000022	cell morphology; cell morphology variant	UPHENO:0002536|UPHENO:0081581	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000005 (abnormal cell morphology), WBPhenotype:0000533 (cell morphology variant)
UPHENO:7000023	inviable cell	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0000019 (inviable cell), FYPO:0000049 (inviable cell)
UPHENO:7000024	cellular respiration	UPHENO:0049904|UPHENO:0085578|UPHENO:0086172	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0010954 (abnormal cellular respiration), FYPO:0000078 (abnormal cellular respiration)
UPHENO:7000025	sensitive to tacrolimus	UPHENO:0076332	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000086 (sensitive to tacrolimus), PHIPO:0001379 (sensitive to tacrolimus)
UPHENO:7000026	mitotic spindle assembly checkpoint	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000168 (abnormal mitotic spindle assembly checkpoint), MP:0009762 (abnormal mitotic spindle assembly checkpoint)
UPHENO:7000027	meiotic telomere clustering	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.MP:0030023 (abnormal meiotic telomere clustering), FYPO:0000172 (abnormal meiotic telomere clustering)
UPHENO:7000028	vesicle-mediated transport during vegetative growth	UPHENO:0049724	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000213 (abnormal vesicle-mediated transport during vegetative growth), PHIPO:0001009 (abnormal vesicle-mediated transport during vegetative growth)
UPHENO:7000029	dna replication	UPHENO:0049904|UPHENO:0085578|UPHENO:0086296	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000217 (abnormal DNA replication), MP:0008057 (abnormal DNA replication)
UPHENO:7000030	filament morphology	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000240 (abnormal filament morphology), PHIPO:0001205 (abnormal filament morphology)
UPHENO:7000031	normal phenotype	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000257 (normal phenotype), MP:0002873 (normal phenotype)
UPHENO:7000032	sensitive to osmotic stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000270 (sensitive to osmotic stress), PHIPO:0001303 (sensitive to osmotic stress)
UPHENO:7000033	sensitive to salt stress	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.PHIPO:0001306 (sensitive to salt stress), FYPO:0000271 (sensitive to salt stress)
UPHENO:7000034	mitotic spindle	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.XPO:0101264 (abnormal mitotic spindle), FYPO:0000338 (abnormal mitotic spindle)
UPHENO:7000035	peroxisomal morphology	UPHENO:0086172	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.HP:0034552 (Abnormal peroxisomal morphology), FYPO:0000362 (abnormal peroxisomal morphology)
UPHENO:7000036	normal meiosis	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000478 (normal meiosis), PHIPO:0000982 (normal meiosis)
UPHENO:7000037	normal cellular process	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000627 (normal cellular process), PHIPO:0000932 (normal cellular process)
UPHENO:7000038	vegetative cell lysis	UPHENO:0001002	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000647 (vegetative cell lysis), PHIPO:0000938 (vegetative cell lysis)
UPHENO:7000039	molecular function phenotype	UPHENO:0001003	This phenotype grouping was automatically generated from an existing mapping.Its labels are generated by combining the labels of the phenotypes in the group, so they may look less ideal.FYPO:0000652 (molecular function phenotype), PHIPO:0000411 (molecular function phenotype)
